"Título do Projeto, Área de Pesquisa"
"""Estudo sobre o impacto das mudanças climáticas na biodiversidade da Amazônia"", ""Meio Ambiente"""
"""Análise da eficácia de novos tratamentos para doenças tropicais"", ""Saúde"""
"""Desenvolvimento de tecnologias sustentáveis para a agricultura"", ""Agricultura"""
"""Estudo sobre a influência da urbanização na qualidade do ar"", ""Urbanização"""
"""Análise do impacto socioeconômico de políticas públicas na redução da pobreza"", ""Economia"""
"""Estudo sobre a eficácia de programas de reciclagem em grandes cidades"", ""Meio Ambiente"""
"""Análise da relação entre alimentação e doenças crônicas"", ""Saúde"""
"""Desenvolvimento de tecnologias para a produção de energia renovável"", ""Energia"""
"""Estudo sobre o impacto do turismo na economia local"", ""Economia"""
"""Análise da influência da educação na mobilidade social"", ""Educação"""
"""Estudo sobre a relação entre transporte público e qualidade de vida"", ""Urbanização"""
"""Análise da eficácia de políticas públicas para a redução da violência"", ""Segurança Pública"""
"""Desenvolvimento de tecnologias para a conservação da água"", ""Recursos Hídricos"""
"""Estudo sobre o impacto da globalização na cultura local"", ""Cultura"""
"""Análise da relação entre atividade física e saúde mental"", ""Saúde"""
"""Desenvolvimento de tecnologias para a agricultura familiar"", ""Agricultura"""
"""Estudo sobre a influência da mídia na formação da opinião pública"", ""Comunicação"""
"""Análise do impacto de programas de inclusão digital na educação"", ""Educação"""
"""Desenvolvimento de tecnologias para a gestão de resíduos sólidos"", ""Meio Ambiente"""
"""Estudo sobre a relação entre desigualdade social e criminalidade"", ""Sociologia"""
"""Análise da eficácia de programas de prevenção ao uso de drogas"", ""Saúde Pública"""
"""Desenvolvimento de tecnologias para a produção de alimentos orgânicos"", ""Agricultura"""
"""Estudo sobre o impacto do envelhecimento populacional na economia"", ""Demografia"""
"""Análise da relação entre poluição sonora e qualidade de vida"", ""Urbanização"""
"""Desenvolvimento de tecnologias para a mobilidade urbana sustentável"", ""Transporte"""
"""Estudo sobre a eficácia de programas de incentivo à leitura"", ""Educação"""
"""Análise da relação entre poluição do ar e doenças respiratórias"", ""Saúde"""
"""Desenvolvimento de tecnologias para a gestão de recursos hídricos"", ""Recursos Hídricos"""
"""Estudo sobre o impacto do comércio internacional na economia local"", ""Economia"""
"""Análise da influência da tecnologia na comunicação interpessoal"", ""Comunicação"""
"""Estudo sobre a relação entre mobilidade urbana e desenvolvimento econômico"", ""Urbanização"""
"""Análise da eficácia de programas de prevenção à violência doméstica"", ""Segurança Pública"""
"""Desenvolvimento de tecnologias para a conservação da biodiversidade"", ""Meio Ambiente"""
"""Estudo sobre o impacto da indústria cultural na formação da identidade juvenil"", ""Cultura"""
"""Análise da relação entre estresse ocupacional e saúde mental"", ""Saúde"""
"""Desenvolvimento de tecnologias para a produção sustentável de alimentos"", ""Agricultura"""
"""Estudo sobre a influência das redes sociais na formação da opinião pública"", ""Comunicação"""
"""Análise do impacto de programas de educação financeira na redução do endividamento"", ""Economia"""
"""Desenvolvimento de tecnologias para a gestão de resíduos líquidos"", ""Meio Ambiente"""
"""Estudo sobre a relação entre desigualdade social e acesso à justiça"", ""Sociologia"""
"""Análise da eficácia de programas de prevenção ao tabagismo"", ""Saúde Pública"""
"""Desenvolvimento de tecnologias para a produção agroecológica"", ""Agricultura"""
"""Estudo sobre o impacto da migração na economia local"", ""Demografia"""
"""Análise da relação entre poluição luminosa e qualidade de vida"", ""Urbanização"""
"""Desenvolvimento de tecnologias para o transporte coletivo não poluente"", ""Transporte"""
"""Estudo sobre a eficácia de programas de incentivo ao empreendedorismo"", ""Economia"""
"""Análise da relação entre poluição da água e doenças gastrointestinais"", ""Saúde"""
"""Desenvolvimento de tecnologias para a gestão de bacias hidrográficas"", ""Recursos Hídricos"""
"""Estudo sobre o impacto do turismo rural na economia local"", ""Economia"""
"""Análise da influência da tecnologia na aprendizagem"", ""Educação"""
"""Estudo sobre a relação entre planejamento urbano e qualidade de vida"", ""Urbanização"""
"""Análise da eficácia de programas de prevenção ao bullying escolar"", ""Educação"""
"""Desenvolvimento de tecnologias para a recuperação de áreas degradadas"", ""Meio Ambiente"""
"""Estudo sobre o impacto da globalização na diversidade cultural"", ""Cultura"""
"""Análise da relação entre sedentarismo e doenças crônicas"", ""Saúde"""
"""Desenvolvimento de tecnologias para a agricultura de precisão"", ""Agricultura"""
"""Estudo sobre a influência da publicidade na formação do consumo infantil"", ""Comunicação"""
"""Análise do impacto de programas de microcrédito na redução da pobreza"", ""Economia"""
"""Desenvolvimento de tecnologias para a gestão integrada de resíduos"", ""Meio Ambiente"""
"""Estudo sobre a relação entre desigualdade social e acesso à saúde"", ""Sociologia"""
"""Análise da eficácia de programas de prevenção ao alcoolismo"", ""Saúde Pública"""
"""Desenvolvimento de tecnologias para a produção agroflorestal"", ""Agricultura"""
"""Estudo sobre o impacto da urbanização na biodiversidade local"", ""Urbanização"""
"""Análise da relação entre poluição visual e qualidade de vida"", ""Urbanização"""
"""Desenvolvimento de tecnologias para o transporte coletivo eficiente"", ""Transporte"""
"""Desenvolvimento de tecnologias para a redução da pobreza"", ""Desenvolvimento Social"""
"""Análise da relação entre segurança alimentar e desenvolvimento sustentável"", ""Desenvolvimento Sustentável"""
"""Promoção da saúde e prevenção de doenças em comunidades carentes"", ""Saúde"""
"""Educação inclusiva para crianças em situação de vulnerabilidade"", ""Educação"""
"""Promoção da igualdade de gênero e empoderamento das mulheres"", ""Igualdade de Gênero"""
"""Garantia de acesso à água potável e saneamento básico para todos"", ""Saneamento Básico"""
"""Desenvolvimento de fontes de energia renovável e acessível"", ""Energia Renovável"""
"""Inclusão de jovens no mercado de trabalho através do empreendedorismo"", ""Empreendedorismo"""
"""Desenvolvimento de tecnologias inovadoras para a indústria sustentável"", ""Indústria Sustentável"""
"""Redução das desigualdades sociais através de políticas públicas"", ""Políticas Públicas"""
"""Planejamento urbano para cidades mais sustentáveis e inclusivas"", ""Planejamento Urbano"""
"""Conscientização sobre o consumo consciente e produção responsável"", ""Consumo Consciente"""
"""Ação contra a mudança climática através do desenvolvimento de tecnologias verdes"", ""Mudança Climática"""
"""Conservação da biodiversidade marinha e costeira"", ""Conservação Marinha"""
"""Conservação da biodiversidade terrestre e florestal"", ""Conservação Terrestre"""
"""Promoção da justiça social e acesso à justiça para todos"", ""Justiça Social"""
"""Desenvolvimento de programas para a inclusão social de pessoas em situação de vulnerabilidade"", ""Inclusão Social"""
"""Análise da relação entre agricultura sustentável e segurança alimentar"", ""Agricultura Sustentável"""
"""Promoção da saúde mental em comunidades carentes"", ""Saúde"""
"""Educação empreendedora para jovens em situação de vulnerabilidade"", ""Educação"""
"""Promoção da igualdade de gênero e combate à violência contra a mulher"", ""Inclusão"""
"""Garantia de acesso à água potável e saneamento básico em áreas rurais"", ""Saneamento Rural"""
"""Desenvolvimento de tecnologias para a produção de energia limpa e acessível"", ""Energia Limpa"""
"""Inclusão de pessoas com deficiência no mercado de trabalho"", ""Inclusão"""
"""Desenvolvimento de tecnologias inovadoras para a indústria 4.0"", ""Tecnologia"""
"""Redução das desigualdades regionais através de políticas públicas"", ""Políticas Públicas"""
"""Planejamento urbano para cidades inteligentes e sustentáveis"", ""Cidades Inteligentes"""
"""Conscientização sobre o consumo consciente e economia circular"", ""Economia Circular"""
"""Ação contra a mudança climática através do desenvolvimento de políticas públicas"", ""Políticas Climáticas"""
"""Conservação da biodiversidade marinha e desenvolvimento do turismo sustentável"", ""Turismo Sustentável"""
"""Conservação da biodiversidade terrestre e desenvolvimento do ecoturismo"", ""Ecoturismo"""
"""Promoção da justiça social e combate à corrupção"", ""Combate à Corrupção"""
"""Desenvolvimento de parcerias público-privadas para a promoção do desenvolvimento sustentável"", ""Parcerias Público-Privadas"""
"""Desenvolvimento de programas para a inclusão social de migrantes"", ""Inclusão"""
"""Análise da relação entre migração e segurança alimentar"", ""Segurança Alimentar"""
"""Promoção da saúde e prevenção de doenças em comunidades migrantes"", ""Saúde"""
"""Educação inclusiva para crianças migrantes"", ""Educação"""
"""Promoção da igualdade de gênero e empoderamento das mulheres migrantes"", ""Igualdade de Gênero"""
"""Garantia de acesso à água potável e saneamento básico para comunidades migrantes"", ""Saneamento Básico"""
"""Desenvolvimento de fontes de energia renovável e acessível para comunidades migrantes"", ""Energia Renovável"""
"""Inclusão de migrantes no mercado de trabalho através do empreendedorismo"", ""Empreendedorismo"""
"""Desenvolvimento de tecnologias inovadoras para a indústria sustentável em áreas com alta concentração de migrantes"", ""Indústria"""
"""Redução das desigualdades sociais entre migrantes e não-migrantes através de políticas públicas"", ""Políticas Públicas"""
"""Promoção da igualdade racial e combate ao racismo"", Direitos Humanos"
"""Desenvolvimento de novas tecnologias para energia renovável"", Energia"
"""Estudo do impacto das mudanças climáticas na biodiversidade"", Meio Ambiente"
"""Desenvolvimento de novos medicamentos para doenças tropicais"", Saúde"
"""Análise do impacto socioeconômico da urbanização"", Sociologia"
"""Estudo da influência da dieta na prevenção de doenças crônicas"", Nutrição"
"""Desenvolvimento de novas tecnologias para agricultura sustentável"", Agricultura"
"""Análise do impacto da poluição do ar na saúde pública"", Saúde "
"""Estudo da relação entre educação e desenvolvimento econômico"", Educação"
"""Desenvolvimento de novas tecnologias para transporte sustentável"", Transporte"
"""Promoção da igualdade racial e combate ao racismo na periferia"", Direitos Humanos"